"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","CCN_3","CCA_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
1,89,"GRC","Greece",1,"Aegean",1,"North Aegean",1,"Agios Efstratios",NA,"","Dímos","Municipality","<U+0391><U+03B3><U+03AF><U+03BF><U+03C5> <U+0395><U+03C5>st<U+03C1>at<U+03AF><U+03BF><U+03C5>",""
2,89,"GRC","Greece",1,"Aegean",1,"North Aegean",2,"Chios",NA,"","Dímos","Municipality","<U+03A7><U+03AF><U+03BF><U+03C5>",""
3,89,"GRC","Greece",1,"Aegean",1,"North Aegean",3,"Fournoi Korseon",NA,"","Dímos","Municipality","F<U+03BF><U+03CD><U+03C1><U+03BD><U+03C9><U+03BD> <U+039A><U+03BF><U+03C1>se<U+03CE><U+03BD>",""
4,89,"GRC","Greece",1,"Aegean",1,"North Aegean",4,"Icaria",NA,"","Dímos","Municipality","<U+0399><U+03BA>a<U+03C1><U+03B9><U+03AC><U+03C2>",""
5,89,"GRC","Greece",1,"Aegean",1,"North Aegean",5,"Lemnos",NA,"","Dímos","Municipality","<U+039B><U+03AE>µ<U+03BD><U+03BF><U+03C5>",""
6,89,"GRC","Greece",1,"Aegean",1,"North Aegean",6,"Lesbos",NA,"","Dímos","Municipality","<U+039B><U+03AD>sß<U+03BF><U+03C5>",""
7,89,"GRC","Greece",1,"Aegean",1,"North Aegean",7,"Oinousses",NA,"","Dímos","Municipality","<U+039F><U+03B9><U+03BD><U+03BF><U+03C5>ss<U+03CE><U+03BD>",""
8,89,"GRC","Greece",1,"Aegean",1,"North Aegean",8,"Psara",NA,"","Dímos","Municipality","<U+03A8>a<U+03C1><U+03CE><U+03BD>",""
9,89,"GRC","Greece",1,"Aegean",1,"North Aegean",9,"Samos",NA,"","Dímos","Municipality","S<U+03AC>µ<U+03BF><U+03C5>",""
10,89,"GRC","Greece",1,"Aegean",2,"South Aegean",10,"Agathonisi",NA,"","Dímos","Municipality","<U+0391><U+03B3>a<U+03B8><U+03BF><U+03BD><U+03B7>s<U+03AF><U+03BF><U+03C5>",""
11,89,"GRC","Greece",1,"Aegean",2,"South Aegean",11,"Amorgos",NA,"","Dímos","Municipality","<U+0391>µ<U+03BF><U+03C1><U+03B3><U+03BF><U+03CD>",""
12,89,"GRC","Greece",1,"Aegean",2,"South Aegean",12,"Anafi",NA,"","Dímos","Municipality","<U+0391><U+03BD><U+03AC>f<U+03B7><U+03C2>",""
13,89,"GRC","Greece",1,"Aegean",2,"South Aegean",13,"Andros",NA,"","Dímos","Municipality","<U+0386><U+03BD>d<U+03C1><U+03BF><U+03C5>",""
14,89,"GRC","Greece",1,"Aegean",2,"South Aegean",14,"Antiparos",NA,"","Dímos","Municipality","<U+0391><U+03BD>t<U+03B9>p<U+03AC><U+03C1><U+03BF><U+03C5>",""
15,89,"GRC","Greece",1,"Aegean",2,"South Aegean",15,"Astypalaia",NA,"","Dímos","Municipality","<U+0391>st<U+03C5>pa<U+03BB>a<U+03AF>a<U+03C2>",""
16,89,"GRC","Greece",1,"Aegean",2,"South Aegean",16,"Chalki",NA,"","Dímos","Municipality","<U+03A7><U+03AC><U+03BB><U+03BA><U+03B7><U+03C2>",""
17,89,"GRC","Greece",1,"Aegean",2,"South Aegean",17,"Folegandros",NA,"","Dímos","Municipality","F<U+03BF><U+03BB>e<U+03B3><U+03AC><U+03BD>d<U+03C1><U+03BF><U+03C5>",""
18,89,"GRC","Greece",1,"Aegean",2,"South Aegean",18,"Ios ",NA,"","Dímos","Municipality","<U+0399><U+03B7>t<U+03CE><U+03BD>",""
19,89,"GRC","Greece",1,"Aegean",2,"South Aegean",19,"Kalymnos",NA,"","Dímos","Municipality","<U+039A>a<U+03BB><U+03C5>µ<U+03BD><U+03AF><U+03C9><U+03BD>",""
20,89,"GRC","Greece",1,"Aegean",2,"South Aegean",20,"Karpathos",NA,"","Dímos","Municipality","<U+039A>a<U+03C1>p<U+03AC><U+03B8><U+03BF><U+03C5>",""
21,89,"GRC","Greece",1,"Aegean",2,"South Aegean",21,"Kasos",NA,"","Dímos","Municipality","<U+039A><U+03AC>s<U+03BF><U+03C5>",""
22,89,"GRC","Greece",1,"Aegean",2,"South Aegean",22,"Kea ",NA,"","Dímos","Municipality","<U+039A><U+03AD>a<U+03C2>",""
